Column: cg16000360, Index: 294741
Column: cg27179327, Index: 474227
Column: cg13991953, Index: 259194
Column: cg08268266, Index: 160463
Column: cg23724117, Index: 417640
Column: cg01910484, Index: 39143
Column: cg04603812, Index: 92190
Column: cg25471956, Index: 445775
Column: cg18756868, Index: 340256
Column: cg04928129, Index: 98378
Column: cg06967703, Index: 136146
Column: cg24870846, Index: 436255
Column: cg01023778, Index: 21581
Column: cg03854262, Index: 77680
Column: cg26551688, Index: 463349
Column: cg19888787, Index: 358355
Column: cg14440947, Index: 268497
Column: cg03157226, Index: 64144
Column: cg25508118, Index: 446321
Column: cg02334187, Index: 47668
Column: cg09874600, Index: 188570
Column: cg08081036, Index: 156833
Column: cg12471950, Index: 232181
Column: cg04279695, Index: 85988
Column: cg23333220, Index: 411290
Column: cg11166108, Index: 210596
Column: cg04212239, Index: 84606
Column: cg06030649, Index: 118838
Column: cg17026874, Index: 312273
Column: cg18892537, Index: 342604
Column: cg08592733, Index: 166202
Column: cg12713893, Index: 236150
Column: cg22932220, Index: 404450
Column: cg21319693, Index: 380427
Column: cg08384913, Index: 162562
Column: cg10342899, Index: 196812
Column: cg10515956, Index: 199774
Column: cg14290451, Index: 265558
Column: cg27546264, Index: 480367
Column: cg15602841, Index: 288105
Column: cg15780578, Index: 291142
Column: cg06302803, Index: 123474
Column: cg00983485, Index: 20690
Column: cg07050602, Index: 137725
Column: cg01198434, Index: 25206
Column: cg13628146, Index: 251775
Column: cg01573732, Index: 32597
Column: cg23288521, Index: 410611
Column: cg23220823, Index: 409321
Column: cg14189304, Index: 263340
Column: cg06085713, Index: 119788
Column: cg11485704, Index: 215842
Column: cg19708576, Index: 355102
Column: cg14265813, Index: 265030
Column: cg26728422, Index: 466384
Column: cg15834355, Index: 292011
Column: cg10731192, Index: 203461
Column: cg24258013, Index: 426166
Column: cg22376582, Index: 395908
Column: cg15408734, Index: 285020
Column: cg03953257, Index: 79493
Column: cg02707638, Index: 55130
Column: cg00196475, Index: 4305
Column: cg23426816, Index: 412778
Column: cg19857633, Index: 357806
Column: cg24882097, Index: 436488
Column: cg19219920, Index: 347245
Column: cg08604594, Index: 166400
Column: cg14219630, Index: 264067
Column: cg16549073, Index: 304224
Column: cg23269663, Index: 410275
Column: cg05953020, Index: 117373
Column: cg24039019, Index: 422640
Column: cg16624272, Index: 305661
Column: cg25997426, Index: 453720
Column: cg14972143, Index: 278165
Column: cg17131435, Index: 313952
Column: cg12379294, Index: 230627
Column: cg03256955, Index: 66018
Column: cg02443062, Index: 49755
Column: cg19433955, Index: 350591
Column: cg24509331, Index: 430152
Column: cg19408535, Index: 350180
Column: cg16411883, Index: 301787
Column: cg16720675, Index: 307543
Column: cg00155593, Index: 3494
Column: cg26757542, Index: 466810
Column: cg18204321, Index: 331393
Column: cg26971330, Index: 470682
Column: cg26151283, Index: 456306
Column: cg24607755, Index: 431769
Column: cg06186683, Index: 121523
Column: cg12530017, Index: 233169
Column: cg23474190, Index: 413473
Column: cg05815906, Index: 114729
Column: cg09304272, Index: 178651
Column: cg00572356, Index: 12166
Column: cg11021849, Index: 208266
Column: cg14342823, Index: 266597
Column: cg17149431, Index: 314252
Column: cg16590546, Index: 305080
Column: cg09506515, Index: 182218
Column: cg05597008, Index: 110850
Column: cg26687072, Index: 465698
Column: cg26015683, Index: 454046
Column: cg22626041, Index: 399465
Column: cg19937480, Index: 359231
Column: cg13155114, Index: 242773
Column: cg12336999, Index: 230048
Column: cg13631259, Index: 251836
Column: cg12478978, Index: 232302
Column: cg20511194, Index: 367845
Column: cg18870413, Index: 342216
Column: cg13980308, Index: 258928
Column: cg00477378, Index: 10143
Column: cg19801747, Index: 356844
Column: cg25255854, Index: 442325
Column: cg00667760, Index: 14131
Column: cg27109614, Index: 473039
Column: cg26333638, Index: 459510
Column: cg02274500, Index: 46401
Column: cg04900915, Index: 97815
Column: cg14826215, Index: 275740
Column: cg01722343, Index: 35350
Column: cg23054925, Index: 406607
Column: cg25598371, Index: 447721
Column: cg14022550, Index: 259886
Column: cg11297817, Index: 212843
Column: cg24145210, Index: 424492
Column: cg17295864, Index: 316664
Column: cg23453420, Index: 413155
Column: cg10044466, Index: 191404
Column: cg07352594, Index: 143620
Column: cg15985470, Index: 294450
Column: cg18419694, Index: 334842
Column: cg07439791, Index: 145134
Column: cg19329389, Index: 348968
Column: cg08215811, Index: 159454
Column: cg20640305, Index: 369743
Column: cg03501596, Index: 70747
Column: cg26741667, Index: 466587
Column: cg03613525, Index: 73146
Column: cg15780888, Index: 291144
Column: cg26891329, Index: 469259
Column: cg20429911, Index: 366595
Column: cg01077102, Index: 22728
Column: cg11908570, Index: 223088
Column: cg07545640, Index: 147129
Column: cg08905114, Index: 171874
Column: cg15030449, Index: 279190
Column: cg08854560, Index: 170817
Column: cg18488745, Index: 336074
Column: cg05366204, Index: 106737
Column: cg12944530, Index: 239646
Column: cg23227945, Index: 409457
Column: cg22163445, Index: 392884
Column: cg11809107, Index: 221262
Column: cg19086455, Index: 345389
Column: cg01677148, Index: 34486
Column: cg17156855, Index: 314390
Column: cg16136840, Index: 296957
Column: cg21139209, Index: 377365
Column: cg26603524, Index: 464182
Column: cg01188068, Index: 24994
Column: cg16558319, Index: 304400
Column: cg03962809, Index: 79708
Column: cg18184107, Index: 331038
Column: cg19508701, Index: 351790
Column: cg00510447, Index: 10884
Column: cg18925864, Index: 343071
Column: cg00218742, Index: 4703
Column: cg01756660, Index: 35948
Column: cg14509895, Index: 269861
Column: cg20727728, Index: 371344
Column: cg22809626, Index: 402420
Column: cg02132760, Index: 43767
Column: cg02142657, Index: 43923
Column: cg02121345, Index: 43538
Column: cg03214297, Index: 65216
Column: cg23122263, Index: 407759
Column: cg01457653, Index: 30349
Column: cg20109151, Index: 361862
Column: cg15986590, Index: 294474
Column: cg03644271, Index: 73693
Column: cg19078334, Index: 345271
Column: cg17856610, Index: 325483
Column: cg12398397, Index: 230923
Column: cg25510610, Index: 446357
Column: cg03672854, Index: 74272
Column: cg19576806, Index: 352900
Column: cg11072298, Index: 209065
Column: cg05880324, Index: 115892
Column: cg18810342, Index: 341222
Column: cg04749935, Index: 94850
Column: cg23691220, Index: 417098
Column: cg11743259, Index: 220080
Column: cg02313492, Index: 47247
Column: cg15395148, Index: 284808
Column: cg19978669, Index: 359872
Column: cg16221841, Index: 298369
Column: cg15270950, Index: 283051
Column: cg26900458, Index: 469414
Column: cg16654771, Index: 306226
Column: cg20126521, Index: 362136
Column: cg25296236, Index: 442886
Column: cg22291084, Index: 394695
Column: cg00341606, Index: 7222
Column: cg19658829, Index: 354317
Column: cg21635953, Index: 385146
Column: cg26764980, Index: 466900
Column: cg19930057, Index: 359096
Column: cg10652650, Index: 202213
Column: cg26839863, Index: 468299
Column: cg22455795, Index: 396946
Column: cg18817487, Index: 341374
Column: ch.12.1019410F, Index: 483035
Column: cg25446117, Index: 445342
Column: cg26187123, Index: 456953
Column: cg14661946, Index: 273068
Column: cg03799530, Index: 76704
Column: cg20195987, Index: 363140
Column: cg17780098, Index: 324155
Column: cg23261372, Index: 410148
Column: cg13326926, Index: 245571
Column: cg17202781, Index: 315191
Column: cg06239037, Index: 122470
Column: cg15627031, Index: 288567
Column: cg07252257, Index: 141833
Column: cg21139076, Index: 377363
Column: cg15875860, Index: 292696
Column: cg10072995, Index: 191892
Column: cg09206691, Index: 176899
Column: cg06524099, Index: 127257
Column: cg03628148, Index: 73391
Column: cg13924988, Index: 257798
Column: cg02304427, Index: 47054
Column: cg03457528, Index: 69924
Column: cg02289189, Index: 46730
Column: cg11911550, Index: 223134
Column: cg23868848, Index: 419624
Column: cg15933935, Index: 293658
Column: cg10918927, Index: 206516
Column: cg15901722, Index: 293121
Column: cg06872331, Index: 134208
Column: cg14255426, Index: 264808
Column: cg03651478, Index: 73831
Column: cg18160135, Index: 330622
Column: cg19720672, Index: 355340
Column: cg02878216, Index: 58491
Column: cg09851528, Index: 188088
