Column: cg05114959, Index: 101850
Column: cg06743811, Index: 131463
Column: cg13621113, Index: 251649
Column: cg18096251, Index: 329382
Column: cg10553343, Index: 200499
Column: cg10525642, Index: 199988
Column: cg24159636, Index: 424777
Column: cg07230786, Index: 141449
Column: cg12592365, Index: 234153
Column: cg04211309, Index: 84586
Column: cg19082559, Index: 345322
Column: cg25466245, Index: 445668
Column: cg24522654, Index: 430363
Column: cg06815826, Index: 132974
Column: cg13605674, Index: 251304
Column: cg20487548, Index: 367506
Column: cg25336892, Index: 443529
Column: cg03354616, Index: 67969
Column: cg24860169, Index: 436037
Column: cg11956804, Index: 223892
Column: cg25538881, Index: 446753
Column: cg10211776, Index: 194571
Column: cg16881960, Index: 310046
Column: cg13747681, Index: 254227
Column: cg15975171, Index: 294267
Column: cg06476438, Index: 126405
Column: cg23555395, Index: 414835
Column: cg01558916, Index: 32249
Column: cg03922946, Index: 78939
Column: cg19128261, Index: 346034
Column: cg21236153, Index: 379280
Column: cg21090033, Index: 376618
Column: cg13861244, Index: 256473
Column: cg04779473, Index: 95373
Column: cg14025373, Index: 259961
Column: cg19115280, Index: 345857
Column: cg13284614, Index: 244846
Column: cg13258831, Index: 244442
Column: cg17233819, Index: 315705
Column: cg19631876, Index: 353877
Column: cg24631102, Index: 432105
Column: cg25214376, Index: 441724
Column: cg14580228, Index: 271432
Column: cg07384894, Index: 144212
Column: cg02473237, Index: 50361
Column: cg16901566, Index: 310354
Column: cg09926486, Index: 189445
Column: cg14585167, Index: 271557
Column: cg14032667, Index: 260125
Column: cg15476396, Index: 286155
Column: cg12590535, Index: 234116
Column: cg14871010, Index: 276574
Column: cg16686960, Index: 306845
Column: cg11454459, Index: 215421
Column: cg07155455, Index: 139917
Column: cg19033555, Index: 344663
Column: cg03191504, Index: 64806
Column: cg16016034, Index: 295041
Column: cg16637458, Index: 305908
Column: cg15869649, Index: 292607
Column: cg10135474, Index: 193080
Column: cg17385247, Index: 318196
Column: cg14021478, Index: 259859
Column: cg25601879, Index: 447801
Column: cg06041067, Index: 119010
Column: cg18565809, Index: 337319
Column: cg14685946, Index: 273445
Column: cg13589810, Index: 250979
Column: cg02872693, Index: 58384
Column: cg00778993, Index: 16463
Column: cg00486358, Index: 10305
Column: cg14408823, Index: 267827
Column: cg26313319, Index: 459159
Column: cg21187669, Index: 378300
Column: cg15067713, Index: 279821
Column: cg24797574, Index: 435011
Column: cg20455802, Index: 367003
Column: cg25127692, Index: 440384
Column: cg24115019, Index: 423907
Column: cg15345769, Index: 284050
Column: cg10758824, Index: 203814
Column: cg15347108, Index: 284068
Column: cg17273588, Index: 316254
Column: cg13630114, Index: 251813
Column: cg02415125, Index: 49338
Column: cg10759936, Index: 203833
Column: cg02482718, Index: 50576
Column: cg15521790, Index: 286772
Column: cg05181941, Index: 103161
Column: cg01404122, Index: 29183
Column: cg11476737, Index: 215728
Column: cg17924044, Index: 326517
Column: cg27664687, Index: 482394
Column: cg19529599, Index: 352159
Column: cg25004840, Index: 438407
Column: cg08365687, Index: 162230
Column: cg01883662, Index: 38636
Column: cg15696460, Index: 289751
Column: cg00598204, Index: 12794
Column: cg05533329, Index: 109765
Column: cg15770553, Index: 290972
Column: cg13028819, Index: 240880
Column: cg17316966, Index: 317029
Column: cg04021672, Index: 80891
Column: cg04368843, Index: 87720
Column: cg13778336, Index: 254800
Column: cg12130607, Index: 226891
Column: cg07621239, Index: 148634
Column: cg06483559, Index: 126522
Column: cg17853691, Index: 325436
Column: cg08578641, Index: 165982
Column: cg10437224, Index: 198331
Column: cg26617787, Index: 464420
Column: cg25161029, Index: 440945
Column: cg25198599, Index: 441454
Column: cg01093028, Index: 23073
Column: cg14420953, Index: 268107
