Column: icgc_sample_id, Index: 0
Column: icgc_specimen_id, Index: 1
Column: cg01842321, Index: 37822
Column: cg13217590, Index: 243777
Column: cg03365548, Index: 68176
Column: cg10805856, Index: 204683
Column: cg07484673, Index: 146021
Column: cg02460141, Index: 50094
Column: cg10081681, Index: 192021
Column: cg11423822, Index: 214987
Column: cg14387626, Index: 267428
Column: cg24917131, Index: 437034
Column: cg27143872, Index: 473649
Column: cg19802477, Index: 356853
Column: cg10982913, Index: 207593
Column: cg09319828, Index: 178943
Column: cg17471836, Index: 319625
Column: cg02803847, Index: 57066
Column: cg16982658, Index: 311513
Column: cg18398551, Index: 334498
Column: cg08548559, Index: 165457
Column: cg17945429, Index: 326892
Column: cg01079658, Index: 22782
Column: cg11538407, Index: 216605
Column: cg08143561, Index: 158096
Column: cg26651514, Index: 464958
Column: cg02507726, Index: 51112
Column: cg02403180, Index: 49152
Column: cg08875433, Index: 171260
Column: cg00013655, Index: 330
Column: cg24392577, Index: 428205
Column: cg23732024, Index: 417775
Column: cg23268197, Index: 410245
Column: cg26583041, Index: 463920
Column: cg16822540, Index: 309232
Column: cg04083712, Index: 81998
Column: cg23760300, Index: 418156
Column: cg09773473, Index: 186693
Column: cg02120433, Index: 43517
Column: cg16723180, Index: 307588
Column: cg14373611, Index: 267124
Column: cg15579816, Index: 287705
Column: cg12255995, Index: 228930
Column: ch.4.179413987F, Index: 484516
Column: cg06909469, Index: 134985
Column: cg05881697, Index: 115913
Column: cg02365780, Index: 48325
Column: cg06716402, Index: 130941
Column: cg18428265, Index: 334981
Column: cg25969123, Index: 453276
Column: cg26317555, Index: 459234
Column: cg07167872, Index: 140187
Column: cg24503407, Index: 430028
Column: cg06732976, Index: 131253
Column: cg08564601, Index: 165723
Column: cg08971667, Index: 172976
Column: cg19135406, Index: 346118
Column: cg00424152, Index: 9003
Column: cg05364884, Index: 106697
Column: cg18947175, Index: 343365
Column: cg20439022, Index: 366752
Column: cg24161793, Index: 424809
Column: cg20442232, Index: 366796
Column: cg21007852, Index: 375426
Column: cg00148114, Index: 3324
Column: cg12859429, Index: 238348
Column: cg01326421, Index: 27672
Column: cg19787532, Index: 356614
Column: cg16578537, Index: 304792
Column: cg00590029, Index: 12606
Column: cg11801159, Index: 221077
Column: cg12640109, Index: 235017
Column: cg11862731, Index: 222345
Column: cg18507732, Index: 336398
Column: cg15285733, Index: 283232
Column: cg21209395, Index: 378739
Column: cg17178900, Index: 314799
